Вопрос,Ответ,Документ
Какова базовая ставка по накопительному счёту «Мой счёт» при остатке свыше 100 рублей?,"Тарифный план «Мой счёт»: при фактическом остатке свыше 100 ₽ — 7,50% годовых (действуют с 17.04.2026). При остатке от 0,01 до 100 ₽ включительно — 0,01% годовых. С 01.02.2022 по 02.05.2024 открытие счетов в рамках тарифного плана «Мой счёт» не осуществлялось.",накопительный_счет_мой_счет.txt / Процентные ставки — Тарифный план «Мой счёт»
Какова ставка по тарифному плану «Моя копилка» для счетов открытых с 17.07.2023?,"Тарифный план «Моя копилка»: по счетам, открытым с 17.07.2023, при минимальном остатке свыше 100 ₽ — 9,00% годовых. По счетам, открытым до 16.07.2023 включительно, при том же остатке — 4,50% годовых. В китайских юанях при остатке свыше 10 ¥ — 1,20% годовых.",накопительный_счет_моя_копилка.txt / Процентные ставки — Тарифный план «Моя копилка»
Когда было приостановлено открытие новых счетов в рамках тарифного плана «Моя выгода»?,"С 10.11.2023 открытие новых счетов в рамках тарифного плана «Моя выгода» не осуществляется. Ранее открытые счета обслуживаются в соответствии с условиями договора банковского счёта. С 01.02.2022 по 02.05.2024 также не открывались счета в рамках тарифного плана «Мой счёт».",накопительный_счет_мой_счет.txt / Тарифный план «Моя выгода»
Какова базовая ставка накопительного счёта «Ультра» в рублях при остатке свыше 100 рублей?,"Тарифный план «Ультра»: при минимальном остатке свыше 100 ₽ — 8,50% годовых (действуют с 17.04.2026). Счёт доступен только клиентам с действующим договором по Пакету услуг «Ультра» и оформляется только на имя клиента. Доступно в системе ДБО «Интернет-банк» и «Мобильный банк».",накопительный_счет_ультра.txt / Основные условия; Процентные ставки
Что происходит с процентами по счёту «Ультра» если остаток становился нулевым в течение месяца?,"Если в течение календарного месяца остаток по счёту становился нулевым — проценты за этот месяц не начисляются и не выплачиваются, даже при последующем пополнении в том же месяце.",накопительный_счет_ультра.txt / Начисление и выплата процентов
Как определяется ставка при начислении процентов по счёту «Ультра»?,"Проценты начисляются на фактический остаток денежных средств на счёте — то есть на сумму, которая находилась на счёте на начало каждого операционного дня в течение расчётного периода. Ставка при этом определяется по минимальному остатку — наименьшей сумме, находившейся на счёте в течение расчётного периода. Выплата производится ежемесячно в последний календарный день месяца путём зачисления на накопительный счёт.",накопительный_счет_ультра.txt / Начисление и выплата процентов
До какой суммы ограничена надбавка по акции «Ультра выгодные траты»?,"Надбавка причисляется к остатку на счёте ежемесячно в последний календарный день месяца, а также в день закрытия счёта. Начисляется на остаток совокупно не более 10 000 000 ₽. При обороте от 50 000 до 249 999,99 ₽ — надбавка +5,00% (итого 14,00% годовых); при обороте от 250 000 ₽ и более — +5,50% (итого 14,50% годовых).",накопительный_счет_ультра.txt / Акция «Ультра выгодные траты»
Каков максимальный размер страхового возмещения по счёту эскроу при долевом строительстве?,"При наступлении страхового случая (отзыв/аннулирование лицензии Банка, мораторий ЦБ РФ) возмещение выплачивается в размере 100% суммы на счёте на момент страхового случая, но не более 10 млн ₽ (в сумме по всем открытым в Банке счетам эскроу данного вкладчика). Возмещение не выплачивается при наличии у АСВ информации о государственной регистрации права собственности или факте ввода объекта в эксплуатацию.",накопительный_счет_эскроу.txt / Страхование (счёт эскроу для целей ДДУ)
В течение скольких рабочих дней банк перечисляет средства с эскроу застройщику?,"Банк перечисляет средства бенефициару (застройщику) не позднее 10 рабочих дней с даты представления разрешения на ввод в эксплуатацию многоквартирного дома/объекта недвижимости, либо сведений о размещении в единой информационной системе жилищного строительства этой информации. До наступления этих оснований расходные операции по счёту не производятся.",накопительный_счет_эскроу.txt / Порядок выплаты застройщику
Когда начинается возможность внесения средств на счёт эскроу при долевом строительстве?,"Денежные средства вносятся после регистрации ДУДС. Срок условного депонирования не может превышать более чем на 6 месяцев срок ввода объекта в эксплуатацию, указанный в проектной декларации.",накопительный_счет_эскроу.txt / Порядок внесения средств (счёт эскроу ДДУ)
