Вопрос,Ответ,Документ
Какова минимальная и максимальная сумма потребительского кредита в РСХБ?,"Сумма потребительского кредита «Кредит со сниженным платежом»: от 30 000 до 5 000 000 ₽. Валюта кредита — рубли РФ. Средства выдаются единовременно на банковский счёт заёмщика с возможностью распоряжения наличным и/или безналичным способом.",кредит_потребительский.txt / Параметры кредита
Каков диапазон сроков потребительского кредита РСХБ?,"Срок кредита: от 6 до 60 месяцев. Периодичность платежей — ежемесячно. Тип платежей — дифференцированные или аннуитетные (по выбору заёмщика).",кредит_потребительский.txt / Параметры кредита; Платежи
Какова полная стоимость кредита (ПСК) по потребительскому кредиту РСХБ?,"Полная стоимость кредита (ПСК) по потребительскому кредиту составляет от 23,225% до 40,150% годовых. Процентная ставка — 22,6–31,0% годовых; без личного страхования применяется надбавка 5,5%.",кредит_потребительский.txt / Параметры кредита
Что происходит в первый месяц после получения потребительского кредита?,"Первый месяц: оплата только начисленных процентов — погашение основного долга в этот период не производится. Это снижает нагрузку на бюджет в начале срока пользования кредитом.",кредит_потребительский.txt / Параметры кредита
Какой тип платежей выбирает заёмщик при потребительском кредите?,"Тип платежей — дифференцированные или аннуитетные — выбирается заёмщиком. Периодичность: ежемесячно. Досрочное погашение без ограничений (полностью или частично).",кредит_потребительский.txt / Платежи; Особенности
Какова неустойка за просрочку по потребительскому кредиту в период начисления процентов?,"Неустойка за просрочку начисляется ежедневно: в период начисления процентов — 20% годовых от просроченной задолженности. После окончания периода начисления процентов — 0,1% от просроченной задолженности за каждый день.",кредит_потребительский.txt / Платежи
Какова неустойка за просрочку после окончания периода начисления процентов?,"После окончания периода начисления процентов неустойка составляет 0,1% от просроченной задолженности за каждый календарный день просрочки. В период начисления процентов — 20% годовых.",кредит_потребительский.txt / Платежи
Нужен ли документ о занятости при сумме кредита до 500 000 рублей?,"Документы о занятости (трудовая книжка / СТД / трудовой договор) не требуются работникам по найму при сумме кредита до 500 000 ₽, зарплатным клиентам банка, а также для продуктов «Рефинансирование» и «Газомоторное топливо» вне зависимости от суммы.",кредит_потребительский.txt / Документы
Какой документ подтверждает доход самозанятого заёмщика?,"Самозанятый гражданин подтверждает доход справкой о состоянии расчётов по налогу на профессиональный доход. Минимальный срок ведения деятельности для получения кредита составляет 6 месяцев.",кредит_потребительский.txt / Документы
Какие документы нужны ИП для получения потребительского кредита?,"Индивидуальный предприниматель предоставляет налоговую декларацию в качестве документа о доходах, свидетельство или выписку из ЕГРИП, а также лицензию, удостоверение или приказ Минюста (при наличии). Нотариусы и адвокаты подают аналогичный комплект.",кредит_потребительский.txt / Документы
Как подтверждает доход военнослужащий при получении кредита?,"Военнослужащий предоставляет справку по форме Банка для военнослужащих и работников правоохранительных органов. Для подтверждения занятости — контракт или выписка из приказа, либо справка работодателя, либо выписка из ТК или СТД.",кредит_потребительский.txt / Документы
Через какой минимальный срок самозанятый может получить потребительский кредит?,"Самозанятые: не менее 6 месяцев деятельности, облагаемой налогом на профессиональный доход. Работники по найму: не менее 3 месяцев на текущем месте и не менее 6 месяцев общего стажа за последние 5 лет. Неработающие пенсионеры: требования по стажу отсутствуют.",кредит_потребительский.txt / Требования к заёмщику
Каков максимальный возраст заёмщика на дату полного возврата кредита для пенсионера?,"Возраст: от 23 лет на момент заявки; до 65 лет на момент возврата кредита. Для пенсионеров — до 75 лет на момент возврата.",кредит_потребительский.txt / Требования к заёмщику
Какие способы погашения потребительского кредита являются бесплатными?,"Погашение: в любом офисе Банка наличными или картой; через банкоматы Банка; безналичным переводом с иного счёта. Досрочное погашение без ограничений (полностью или частично).",кредит_потребительский.txt / Погашение; Особенности
