Вопрос,Ответ,Документ
С какой даты действуют текущие условия программы лояльности «Урожай»?,"Условия программы лояльности «Урожай» — системы начисления бонусных баллов держателям банковских карт АО «Россельхозбанк» за совершение расходных операций — действуют с 01.02.2026. Новому Пользователю при подключении к программе предоставляется уровень «Стандарт».",кэшбек_программа_лояльности.txt / Описание программы
Когда банк определяет уровень программы лояльности для клиента?,"Уровень программы лояльности определяется банком 23 числа каждого месяца, предшествующего расчётному периоду. Банк информирует пользователя о предоставленном уровне в Личном кабинете в системе ДБО. Новому Пользователю предоставляется уровень «Стандарт».",кэшбек_программа_лояльности.txt / Уровни программы
Каков минимальный остаток на счетах для получения уровня «Престиж»?,"Уровень «Престиж»: условие — остатки на счетах от 3 000 000 ₽. Количество категорий — до 7, максимум баллов в месяц — 15 000, максимум обмена в месяц — 15 000 баллов. Уровень «Стандарт» действует при остатках до 2 999 999,99 ₽.",кэшбек_программа_лояльности.txt / Уровни программы
Через сколько рабочих дней баллы становятся доступны после окончания расчётного периода?,"Баллы зачисляются на Бонусный счёт не позднее 10-го рабочего дня месяца, следующего за расчётным. За одну операцию баллы начисляются однократно. После зачисления баллы становятся доступны для конвертации или компенсации покупок.",кэшбек_программа_лояльности.txt / Начисление баллов
Каков срок действия бонусных баллов?,"Срок действия баллов: 24 месяца (2 календарных года) с даты зачисления на Бонусный счёт. При списании баллов учитывается хронология их начисления — сначала списываются баллы, начисленные раньше.",кэшбек_программа_лояльности.txt / Начисление баллов
По какому курсу компенсируются покупки у партнёров из Каталога?,"При компенсации покупок у партнёров из Каталога применяется курс: 1 балл = 1 ₽. Вернуть деньги за одну покупку можно только один раз. Операция, по которой произведён возврат или отмена, для компенсации недоступна.",кэшбек_программа_лояльности.txt / Компенсация покупок из Каталога
В течение какого срока доступна компенсация покупки у партнёра баллами?,"Срок компенсации: 60 дней с даты оплаты. По истечении этого срока операция для компенсации недоступна. Покупка отображается в разделе «Доступно баллов» в течение 14 рабочих дней с даты совершения расходной операции.",кэшбек_программа_лояльности.txt / Компенсация покупок из Каталога
Через сколько рабочих дней покупка появляется в разделе компенсации?,"Покупка у партнёра отображается в разделе «Доступно баллов» в Личном кабинете в течение 14 рабочих дней с даты совершения расходной операции. Зачисление рублей после запроса на компенсацию — не позднее 5 рабочих дней.",кэшбек_программа_лояльности.txt / Компенсация покупок из Каталога
Через сколько рабочих дней рубли зачисляются на счёт после запроса на компенсацию?,"Зачисление рублей — не позднее 5 рабочих дней с даты запроса. Денежные средства, зачисленные в результате компенсации, учитываются как собственные средства пользователя.",кэшбек_программа_лояльности.txt / Компенсация покупок из Каталога
Какой лимит трат по категории телекоммуникаций для начисления баллов?,"Телекоммуникации (MCC 4812–4815, 4821): лимит 3 000 ₽/месяц — на сумму сверх лимита баллы не начисляются. Услуги по недвижимости/аренде (MCC 6513): лимит 1 000 000 ₽/операция.",кэшбек_программа_лояльности.txt / Лимиты начисления по категориям
Каков лимит суммы операции по категории услуг по недвижимости/аренде для начисления баллов?,"Услуги по недвижимости/аренде (MCC 6513): баллы начисляются только на сумму расходной операции до 1 000 000 ₽. Автомобили и транспорт (MCC 5013, 5511, 5521, 5533, 5551, 5592): лимит 850 000 ₽/операция.",кэшбек_программа_лояльности.txt / Лимиты начисления по категориям
Что считается злоупотреблением программой лояльности?,"Злоупотреблением считаются: действия, направленные на накопление максимального количества баллов без фактического приобретения товаров/услуг; совершение операций в одном ТСП или нескольких ТСП с одним MCC-кодом без совершения операций в иных ТСП в течение 3 месяцев подряд. При выявлении злоупотреблений банк вправе аннулировать баллы и заблокировать Бонусный счёт.",кэшбек_программа_лояльности.txt / Злоупотребление программой
Что происходит с баллами держателя дополнительной карты?,"Держатели дополнительных карт не участвуют в программе лояльности самостоятельно — их операции начисляют баллы на Бонусный счёт основного держателя. Единый Бонусный счёт действует для всех карт клиента.",кэшбек_программа_лояльности.txt / Особенности
Как влияет просрочка по кредитной карте на начисление баллов по другим счетам?,"При наличии просрочки по кредитной карте баллы по операциям на других счетах также не начисляются. Начисление баллов по кредитной карте возможно только при отсутствии просроченной задолженности на 25 число месяца.",кэшбек_программа_лояльности.txt / Особенности
Начисляются ли баллы при оплате через QR-код без реквизитов карты?,"Операции по QR-коду без использования реквизитов карты не относятся к расходным операциям программы лояльности. Баллы по таким операциям не начисляются. Исключение: операции по QR-коду, участвующие в акции «Бонусные баллы за оплату по QR-коду», — по ним начисляется 0,5% дополнительных баллов.",кэшбек_программа_лояльности.txt / Операции, за которые баллы НЕ начисляются
Какой дополнительный процент баллов начисляется при оплате по QR-коду в рамках акции?,"При оплате по QR-коду в ТСП с присвоенным MCC-кодом из перечня начисляются дополнительные бонусные баллы в размере 0,5% от суммы перевода. Баллы начисляются на Бонусный счёт в единую дату с начислением основных бонусных баллов — не позднее 10-го рабочего дня месяца, следующего за расчётным.",кэшбек_акция_QR.txt / Размер дополнительных баллов; Ограничения
Каков период проведения акции «Бонусные баллы за оплату по QR-коду»?,"Период проведения акции: 01.10.2025 — 30.06.2026. Редакция правил действует с 01.01.2026. Акция реализуется в системе «Мобильный банк» — дистанционное банковское обслуживание через мобильное устройство.",кэшбек_акция_QR.txt / Период проведения
Кто может участвовать в акции по QR-коду?,"Участник Акции — клиент, который: присоединён к условиям ДБО с использованием системы «Интернет-банк» и «Мобильный банк»; имеет установленную систему «Мобильный банк» на мобильном устройстве; является держателем дебетовой карты, счёт которой открыт в рублях РФ.",кэшбек_акция_QR.txt / Условия участия
